Project : GITS,,
,,
Notes,Score (0 - 3),evidence
Video,2,"There is a video explanation of the first part but, the video after the completion of phase 2 or three is missing"
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot)",2,"https://github.com/harshitpatel96/GITS/graphs/contributors, we can see that there is a massive difference between the number of commits and the lines committed by the people. "
Number of commits,3,271 commits in GH
Number of commits: by different people,3,"There are commits by everyone
52  urvishvasani
36  Faraaz Kakiwala
30  Tanay Agrawal
25  harshitpatel96
24  kenil-shah
17  Kenil Shah
16  Harshit Patel
13  Srujana Rachakonda
10  raksha1207
8  srujana13
7  amolgautam25
7  rajshrivastava
6  Sneha Kumar
6  faraaz7498
4  Amol Gautam
4  Raj Kumar Shrivastava
4  snkumar32
2  agautam6"
Issues reports: there are many,3,There were 24 reported
Issues are being closed,3,All the opened issues are closed
DOI badge: exists,3,The DOI badge exists in README and when clicked it is redirected to the zendo website
"Docs: doco generated, format not ugly",3,The docs folder is well maintained
Docs: what: point descriptions of each class/function (in isolation),3,All the functionalities implemented are defined well for which they are being used.
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,Steps are well-defined with examples for all the functionalities
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,There is a description along with video which explains why users might prefer to use gits over the existing git
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,The video is present in the README and the contributors have explained clearly that the gits function better than git 
Use of version control tools,3,
Use of style checkers,3,Flakes are being used as shown here
Use of code formatters.,3,
Use of syntax checkers.,3,
Use of code coverage,3,91% code coverage specified with codecov badge
Other automated analysis tools,2,
Test cases exist,3,Test cases exist for all the classes in Test folder
Test cases are routinely executed,3,Yes
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,There are tips on how we can improve the project also steps are mentioned on how to report bugs and pull the code in CONTRIBUTING.md
Issues are discussed before they are closed,3,"There are discussions available for the issues. 
ex: https://github.com/harshitpatel96/GITS/issues/32"
Chat channel: exists,2,There is no chat channel but there are discussions for issues
